human_readable_date,value
2019-04-17 22:40:43-04:00,1
2019-04-17 21:52:03-04:00,1
2019-04-17 17:23:59-04:00,2
2019-04-17 17:19:10-04:00,2
2019-04-17 17:08:11-04:00,1
2019-04-17 17:08:11-04:00,2
2019-04-17 17:08:10-04:00,1
2019-04-17 17:08:09-04:00,2
2019-04-17 17:08:06-04:00,1
2019-04-17 17:08:04-04:00,2
2019-04-17 17:08:03-04:00,1
2019-04-17 17:08:03-04:00,2
2019-04-17 17:08:02-04:00,1
2019-04-17 17:08:01-04:00,2
2019-04-17 17:08:01-04:00,1
